,type,sms,processedSMS,filteredSMS
334,0,Er yep sure. Props?,er yep sure prop,"['er', 'yep', 'sure', 'prop']"
335,0,Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!,lol know hey someon great inperson flea forum love,"['lol', 'know', 'hey', 'someon', 'great', 'inperson', 'flea', 'forum', 'love']"
336,0,"Pity, * was in mood for that. So...any other suggestions?",piti mood suggest,"['piti', 'mood', 'suggest']"
337,0,All done? All handed in? Celebrations in full swing yet?,done hand celebr full swing yet,"['done', 'hand', 'celebr', 'full', 'swing', 'yet']"
338,0,Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-),read gud habit nan bari hudgi yorg pataistha ertini kano,"['read', 'gud', 'habit', 'nan', 'bari', 'hudgi', 'yorg', 'pataistha', 'ertini', 'kano']"
339,0,It certainly puts things into perspective when something like this happens,certainli put thing perspect someth like happen,"['certainli', 'put', 'thing', 'perspect', 'someth', 'like', 'happen']"
340,0,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",dear sir salam alaikkum pride pleasur meet today tea shop pleas send contact number qatar rakhesh indian pl save number respect regard,"['dear', 'sir', 'salam', 'alaikkum', 'pride', 'pleasur', 'meet', 'today', 'tea', 'shop', 'pleas', 'send', 'contact', 'number', 'qatar', 'rakhesh', 'indian', 'pl', 'save', 'number', 'respect', 'regard']"
341,0,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",today song dedic day song u dedic send ur valuabl frnd first rpli,"['today', 'song', 'dedic', 'day', 'song', 'u', 'dedic', 'send', 'ur', 'valuabl', 'frnd', 'first', 'rpli']"
342,0,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,seem like weird time night g want come smoke day shitstorm attribut alway come make everyon smoke,"['seem', 'like', 'weird', 'time', 'night', 'g', 'want', 'come', 'smoke', 'day', 'shitstorm', 'attribut', 'alway', 'come', 'make', 'everyon', 'smoke']"
343,0,Do u noe wat time e place dat sells 4d closes?,u noe wat time e place dat sell 4d close,"['u', 'noe', 'wat', 'time', 'e', 'place', 'dat', 'sell', '4d', 'close']"
344,0,What is this 'hex' place you talk of? Explain!,hex place talk explain,"['hex', 'place', 'talk', 'explain']"
345,0,Huh y lei...,huh lei,"['huh', 'lei']"
346,0,Cps is causing the outages to conserve energy.,cp caus outag conserv energi,"['cp', 'caus', 'outag', 'conserv', 'energi']"
347,0,"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u..",ya ok vikki vl c witin lt gt min il repli u,"['ya', 'ok', 'vikki', 'vl', 'c', 'witin', 'lt', 'gt', 'min', 'il', 'repli', 'u']"
348,0,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",said u mind go bedroom minut ok sed sexi mood came 5 minut latr wid cake n wife,"['said', 'u', 'mind', 'go', 'bedroom', 'minut', 'ok', 'sed', 'sexi', 'mood', 'came', '5', 'minut', 'latr', 'wid', 'cake', 'n', 'wife']"
349,0,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu,hi chachi tri call u unabl reach u pl give miss cal u c tiz msg kanagu,"['hi', 'chachi', 'tri', 'call', 'u', 'unabl', 'reach', 'u', 'pl', 'give', 'miss', 'cal', 'u', 'c', 'tiz', 'msg', 'kanagu']"
350,0,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,tell friend plan valentin day lt url gt,"['tell', 'friend', 'plan', 'valentin', 'day', 'lt', 'url', 'gt']"
351,0,Yes da. Any plm at ur office,ye da plm ur offic,"['ye', 'da', 'plm', 'ur', 'offic']"
352,0,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing",em olowoyey usc edu great time argentina sad secretari everyth bless,"['em', 'olowoyey', 'usc', 'edu', 'great', 'time', 'argentina', 'sad', 'secretari', 'everyth', 'bless']"
353,0,Haha... dont be angry with yourself... Take it as a practice for the real thing. =) ,haha dont angri take practic real thing,"['haha', 'dont', 'angri', 'take', 'practic', 'real', 'thing']"
354,0,What you doing?how are you?,,[]
355,0,"I don't think I can get away for a trek that long with family in town, sorry",think get away trek long famili town sorri,"['think', 'get', 'away', 'trek', 'long', 'famili', 'town', 'sorri']"
356,0,S:-)if we have one good partnership going we will take lead:),one good partnership go take lead,"['one', 'good', 'partnership', 'go', 'take', 'lead']"
357,0,Ic. There are a lotta childporn cars then.,ic lotta childporn car,"['ic', 'lotta', 'childporn', 'car']"
358,0,Ok.,ok,['ok']
359,0,I didn't get the second half of that message,get second half messag,"['get', 'second', 'half', 'messag']"
360,0,I've reached already.,reach alreadi,"['reach', 'alreadi']"
361,0,My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?,tuition 330 hm go 1120 1205 one mind,"['tuition', '330', 'hm', 'go', '1120', '1205', 'one', 'mind']"
362,0,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOOD NIGHT""",beauti truth graviti read care heart feel light someon feel heavi someon leav good night,"['beauti', 'truth', 'graviti', 'read', 'care', 'heart', 'feel', 'light', 'someon', 'feel', 'heavi', 'someon', 'leav', 'good', 'night']"
363,0,"I hav almost reached. Call, i m unable to connect u.",hav almost reach call unabl connect u,"['hav', 'almost', 'reach', 'call', 'unabl', 'connect', 'u']"
364,0,Ay wana meet on sat?  _ wkg on sat?,ay wana meet sat wkg sat,"['ay', 'wana', 'meet', 'sat', 'wkg', 'sat']"
365,0,K..k:)how much does it cost?,k k much cost,"['k', 'k', 'much', 'cost']"
366,0,Is that what time you want me to come?,time want come,"['time', 'want', 'come']"
367,0,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.",speak bcaz mobil problem listen cann listen voic call later,"['speak', 'bcaz', 'mobil', 'problem', 'listen', 'cann', 'listen', 'voic', 'call', 'later']"
368,0,Then any special there?,special,['special']
369,0,Short But Cute : \ Be a good person ,short cute good person,"['short', 'cute', 'good', 'person']"
370,0,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",new theori argument win situat lose person dont argu ur friend kick amp say alway correct,"['new', 'theori', 'argument', 'win', 'situat', 'lose', 'person', 'dont', 'argu', 'ur', 'friend', 'kick', 'amp', 'say', 'alway', 'correct']"
371,0,I'm vivek:)i got call from your number.,vivek got call number,"['vivek', 'got', 'call', 'number']"
372,0,"Awesome, lemme know whenever you're around",awesom lem know whenev around,"['awesom', 'lem', 'know', 'whenev', 'around']"
373,0,I'm awake oh. What's up.,awak oh,"['awak', 'oh']"
374,0,"Probably, want to pick up more?",probabl want pick,"['probabl', 'want', 'pick']"
375,0,"sorry, no, have got few things to do. may be in pub later.",sorri got thing may pub later,"['sorri', 'got', 'thing', 'may', 'pub', 'later']"
376,0,How long does it take to get it.,long take get,"['long', 'take', 'get']"
377,0,I cant pick the phone right now. Pls send a message,cant pick phone right pl send messag,"['cant', 'pick', 'phone', 'right', 'pl', 'send', 'messag']"
378,0,Yup... From what i remb... I think should be can book... ,yup remb think book,"['yup', 'remb', 'think', 'book']"
379,0,Please leave this topic..sorry for telling that..,pleas leav topic sorri tell,"['pleas', 'leav', 'topic', 'sorri', 'tell']"
380,0,Yesterday its with me only . Now am going home.,yesterday go home,"['yesterday', 'go', 'home']"
381,0,I think it's all still in my car,think still car,"['think', 'still', 'car']"
382,0,I.ll post her out l8r. In class,post l8r class,"['post', 'l8r', 'class']"
383,0,"Haha yeah I see that now, be there in a sec",haha yeah see sec,"['haha', 'yeah', 'see', 'sec']"
384,0,What pa tell me.. I went to bath:-),pa tell went bath,"['pa', 'tell', 'went', 'bath']"
385,0,Please tell me not all of my car keys are in your purse,pleas tell car key purs,"['pleas', 'tell', 'car', 'key', 'purs']"
386,0,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?,watch lotr w si di aft u wan 2 meet 4 dinner nite,"['watch', 'lotr', 'w', 'si', 'di', 'aft', 'u', 'wan', '2', 'meet', '4', 'dinner', 'nite']"
387,0,"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand.",tell shola pleas go colleg medicin visit academ depart tell academ secretari current situat ask transfer ask someon check sagamu thing lautech vital complet medic educ nigeria less expens much less expens unless get citizen rate new zealand,"['tell', 'shola', 'pleas', 'go', 'colleg', 'medicin', 'visit', 'academ', 'depart', 'tell', 'academ', 'secretari', 'current', 'situat', 'ask', 'transfer', 'ask', 'someon', 'check', 'sagamu', 'thing', 'lautech', 'vital', 'complet', 'medic', 'educ', 'nigeria', 'less', 'expens', 'much', 'less', 'expens', 'unless', 'get', 'citizen', 'rate', 'new', 'zealand']"
388,0,You also didnt get na hi hi hi hi hi,also didnt get na hi hi hi hi hi,"['also', 'didnt', 'get', 'na', 'hi', 'hi', 'hi', 'hi', 'hi']"
389,0,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!",yeah work fine start last week stuff dull easi guy fun,"['yeah', 'work', 'fine', 'start', 'last', 'week', 'stuff', 'dull', 'easi', 'guy', 'fun']"
390,0,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...",chinatown got porridg claypot rice yam cake fishhead beehoon either eat cheap den go cafe n tok go nydc somethin,"['chinatown', 'got', 'porridg', 'claypot', 'rice', 'yam', 'cake', 'fishhead', 'beehoon', 'either', 'eat', 'cheap', 'den', 'go', 'cafe', 'n', 'tok', 'go', 'nydc', 'somethin']"
391,0, gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. ,gon na let know co come bak holiday day come t4get2text number,"['gon', 'na', 'let', 'know', 'co', 'come', 'bak', 'holiday', 'day', 'come', 't4get2text', 'number']"
392,0,I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,lost 4 pound sinc doc visit last week woot woot gon na celebr stuf face,"['lost', '4', 'pound', 'sinc', 'doc', 'visit', 'last', 'week', 'woot', 'woot', 'gon', 'na', 'celebr', 'stuf', 'face']"
393,0,"Sorry, I'll call later",sorri call later,"['sorri', 'call', 'later']"
394,0,Surly ill give it to you:-) while coming to review.,surli ill give come review,"['surli', 'ill', 'give', 'come', 'review']"
395,0,I can send you a pic if you like :),send pic like,"['send', 'pic', 'like']"
396,0,Aight should I just plan to come up later tonight?,aight plan come later tonight,"['aight', 'plan', 'come', 'later', 'tonight']"
397,0,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!,hey almost forgot happi b day babe love ya,"['hey', 'almost', 'forgot', 'happi', 'b', 'day', 'babe', 'love', 'ya']"
398,0,I've not sent it. He can send me.,sent send,"['sent', 'send']"
399,0,Oh dang! I didn't mean o send that to you! Lol!,oh dang mean send lol,"['oh', 'dang', 'mean', 'send', 'lol']"
400,0,You will be in the place of that man,place man,"['place', 'man']"
401,0,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",know thinkin malaria relax children cant handl malaria would wors gastroenter take enough replac loss temp reduc give malaria med vomit self limit ill mean day complet stop,"['know', 'thinkin', 'malaria', 'relax', 'children', 'cant', 'handl', 'malaria', 'would', 'wors', 'gastroenter', 'take', 'enough', 'replac', 'loss', 'temp', 'reduc', 'give', 'malaria', 'med', 'vomit', 'self', 'limit', 'ill', 'mean', 'day', 'complet', 'stop']"
402,0,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... ",oki go yan jiu skip ard oso go cine den go mrt one blah blah blah,"['oki', 'go', 'yan', 'jiu', 'skip', 'ard', 'oso', 'go', 'cine', 'den', 'go', 'mrt', 'one', 'blah', 'blah', 'blah']"
403,0,"Right on brah, see you later",right brah see later,"['right', 'brah', 'see', 'later']"
404,0,This single single answers are we fighting? Plus i said am broke and you didnt reply,singl singl answer fight plu said broke didnt repli,"['singl', 'singl', 'answer', 'fight', 'plu', 'said', 'broke', 'didnt', 'repli']"
405,0,"Hey, iouri gave me your number, I'm wylie, ryan's friend",hey iouri gave number wyli ryan friend,"['hey', 'iouri', 'gave', 'number', 'wyli', 'ryan', 'friend']"
406,0,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..",hous maid murder coz man murder lt gt th januari public holiday govt instituit close includ post offic,"['hous', 'maid', 'murder', 'coz', 'man', 'murder', 'lt', 'gt', 'th', 'januari', 'public', 'holiday', 'govt', 'instituit', 'close', 'includ', 'post', 'offic']"
407,0,Oh thanks a lot..i already bought 2 eggs ..,oh thank lot alreadi bought 2 egg,"['oh', 'thank', 'lot', 'alreadi', 'bought', '2', 'egg']"
408,0,Hey leave it. not a big deal:-) take care.,hey leav big deal take care,"['hey', 'leav', 'big', 'deal', 'take', 'care']"
409,0,No my mum went 2 dentist.,mum went 2 dentist,"['mum', 'went', '2', 'dentist']"
410,0,Have you seen who's back at Holby?!,seen back holbi,"['seen', 'back', 'holbi']"
411,0,Huh so fast... Dat means u havent finished painting?,huh fast dat mean u havent finish paint,"['huh', 'fast', 'dat', 'mean', 'u', 'havent', 'finish', 'paint']"
412,0,S:)s.nervous  &lt;#&gt; :),nervou lt gt,"['nervou', 'lt', 'gt']"
413,0,When should I come over?,come,['come']
414,0,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,regist sinco paye log icicibank com enter urn lt gt confirm bewar fraud share disclos urn anyon,"['regist', 'sinco', 'paye', 'log', 'icicibank', 'com', 'enter', 'urn', 'lt', 'gt', 'confirm', 'bewar', 'fraud', 'share', 'disclos', 'urn', 'anyon']"
415,0,I walked an hour 2 c u! doesn    t that show I care y wont u believe im serious?,walk hour 2 c u show care wont u believ im seriou,"['walk', 'hour', '2', 'c', 'u', 'show', 'care', 'wont', 'u', 'believ', 'im', 'seriou']"
416,0,Still at west coast... Haiz...    'll take forever to come back...,still west coast haiz take forev come back,"['still', 'west', 'coast', 'haiz', 'take', 'forev', 'come', 'back']"
417,0,Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please.... ,dont flatter tell man mine two pint carlin ten minut pleas,"['dont', 'flatter', 'tell', 'man', 'mine', 'two', 'pint', 'carlin', 'ten', 'minut', 'pleas']"
418,0,Hmm thinking lor...,hmm think lor,"['hmm', 'think', 'lor']"
419,0,Very hurting n meaningful lines ever: \I compromised everything for my love,hurt n meaning line ever compromis everyth love,"['hurt', 'n', 'meaning', 'line', 'ever', 'compromis', 'everyth', 'love']"
420,0,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",yeah think usual guy still pass last night get ahold anybodi let know throw,"['yeah', 'think', 'usual', 'guy', 'still', 'pass', 'last', 'night', 'get', 'ahold', 'anybodi', 'let', 'know', 'throw']"
421,0,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: \GOODMORNING &amp; HAVE A NICE DAY\"" :)""",cool breez bright sun fresh flower twitter bird wait wish u goodmorn amp nice day,"['cool', 'breez', 'bright', 'sun', 'fresh', 'flower', 'twitter', 'bird', 'wait', 'wish', 'u', 'goodmorn', 'amp', 'nice', 'day']"
422,0,"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!",dear regret cudnt pick call drove frm ctla cochin home left mobil car ent style ishtamayoo happi bakrid,"['dear', 'regret', 'cudnt', 'pick', 'call', 'drove', 'frm', 'ctla', 'cochin', 'home', 'left', 'mobil', 'car', 'ent', 'style', 'ishtamayoo', 'happi', 'bakrid']"
423,0,"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x",jolli good way give u ticket sat eve 7 30 speak x,"['jolli', 'good', 'way', 'give', 'u', 'ticket', 'sat', 'eve', '7', '30', 'speak', 'x']"
424,0,I think i've fixed it can you send a test message?,think fix send test messag,"['think', 'fix', 'send', 'test', 'messag']"
425,0,Package all your programs well,packag program well,"['packag', 'program', 'well']"
426,0,Well. Im computerless. Time to make some oreo truffles,well im computerless time make oreo truffl,"['well', 'im', 'computerless', 'time', 'make', 'oreo', 'truffl']"
427,0,I am in hospital da. . I will return home in evening,hospit da return home even,"['hospit', 'da', 'return', 'home', 'even']"
428,0,Lol alright i was thinkin that too haha,lol alright thinkin haha,"['lol', 'alright', 'thinkin', 'haha']"
429,0,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",live simpl love also simpl laugh simpl win tooo simpl simpl difficult,"['live', 'simpl', 'love', 'also', 'simpl', 'laugh', 'simpl', 'win', 'tooo', 'simpl', 'simpl', 'difficult']"
430,0,No message..no responce..what happend?,messag responc happend,"['messag', 'responc', 'happend']"
431,0,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,ju reach home go bath first si use net tell u finish k,"['ju', 'reach', 'home', 'go', 'bath', 'first', 'si', 'use', 'net', 'tell', 'u', 'finish', 'k']"
432,0,Thanks for loving me so. You rock,thank love rock,"['thank', 'love', 'rock']"
433,0,on hen night. Going with a swing,hen night go swing,"['hen', 'night', 'go', 'swing']"
434,0,Ok lar... Joking wif u oni...,ok lar joke wif u oni,"['ok', 'lar', 'joke', 'wif', 'u', 'oni']"
435,0,"Sorry im getting up now, feel really bad- totally rejected that kinda me thing.",sorri im get feel realli bad total reject kinda thing,"['sorri', 'im', 'get', 'feel', 'realli', 'bad', 'total', 'reject', 'kinda', 'thing']"
436,0,Ok then i come n pick u at engin?,ok come n pick u engin,"['ok', 'come', 'n', 'pick', 'u', 'engin']"
437,0,"I      ll leave around four, ok?",leav around four ok,"['leav', 'around', 'four', 'ok']"
438,0,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request maangalyam alaipayuth set callertun caller press 9 copi friend callertun,"['per', 'request', 'maangalyam', 'alaipayuth', 'set', 'callertun', 'caller', 'press', '9', 'copi', 'friend', 'callertun']"
439,0,God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!,god creat gap btwn ur finger dat sum1 vri special fill gap hold ur hand plz dont ask creat much gap leg,"['god', 'creat', 'gap', 'btwn', 'ur', 'finger', 'dat', 'sum1', 'vri', 'special', 'fill', 'gap', 'hold', 'ur', 'hand', 'plz', 'dont', 'ask', 'creat', 'much', 'gap', 'leg']"
440,0,It vl bcum more difficult..,vl bcum difficult,"['vl', 'bcum', 'difficult']"
441,0,Thats cool! I am a gentleman and will treat you with dignity and respect.,that cool gentleman treat digniti respect,"['that', 'cool', 'gentleman', 'treat', 'digniti', 'respect']"
442,0,Yes! How is a pretty lady like you single?,ye pretti ladi like singl,"['ye', 'pretti', 'ladi', 'like', 'singl']"
443,0,Dont show yourself. How far. Put new pictures up on facebook.,dont show far put new pictur facebook,"['dont', 'show', 'far', 'put', 'new', 'pictur', 'facebook']"
444,0,Y de asking like this.,de ask like,"['de', 'ask', 'like']"
445,0,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx",al moan n e thin goe wrong fault al de argument r fault fed himso bother hav 2go thanx xx,"['al', 'moan', 'n', 'e', 'thin', 'goe', 'wrong', 'fault', 'al', 'de', 'argument', 'r', 'fault', 'fed', 'himso', 'bother', 'hav', '2go', 'thanx', 'xx']"
446,0,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,come back thursday yay gon na ok get money cheer oh yeah everyth alright how school call work,"['come', 'back', 'thursday', 'yay', 'gon', 'na', 'ok', 'get', 'money', 'cheer', 'oh', 'yeah', 'everyth', 'alright', 'how', 'school', 'call', 'work']"
447,0,Umma. Did she say anything,umma say anyth,"['umma', 'say', 'anyth']"
448,0,See? I thought it all through,see thought,"['see', 'thought']"
449,0,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!,sort code acc bank natwest repli confirm sent right person,"['sort', 'code', 'acc', 'bank', 'natwest', 'repli', 'confirm', 'sent', 'right', 'person']"
450,0,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,love u 2 babe r u sure everyth alrit idiot txt bak girli,"['love', 'u', '2', 'babe', 'r', 'u', 'sure', 'everyth', 'alrit', 'idiot', 'txt', 'bak', 'girli']"
451,0,Goodmorning sleeping ga.,goodmorn sleep ga,"['goodmorn', 'sleep', 'ga']"
452,0,Hi mate its RV did u hav a nice hol just a message 3 say hello coz haven    t sent u 1 in ages started driving so stay off roads!RVx,hi mate rv u hav nice hol messag 3 say hello coz sent u 1 age start drive stay road rvx,"['hi', 'mate', 'rv', 'u', 'hav', 'nice', 'hol', 'messag', '3', 'say', 'hello', 'coz', 'sent', 'u', '1', 'age', 'start', 'drive', 'stay', 'road', 'rvx']"
453,0,Well she's in for a big surprise!,well big surpris,"['well', 'big', 'surpris']"
454,0,I anything lor.,anyth lor,"['anyth', 'lor']"
455,0,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...,quit ok bit ex u better go eat smth els feel guilti,"['quit', 'ok', 'bit', 'ex', 'u', 'better', 'go', 'eat', 'smth', 'els', 'feel', 'guilti']"
456,0,Tell me something. Thats okay.,tell someth that okay,"['tell', 'someth', 'that', 'okay']"
457,0,"Oh fine, I'll be by tonight",oh fine tonight,"['oh', 'fine', 'tonight']"
458,0,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,wat late still earli mah juz go 4 dinner lor aiya dunno,"['wat', 'late', 'still', 'earli', 'mah', 'juz', 'go', '4', 'dinner', 'lor', 'aiya', 'dunno']"
459,0,Ok enjoy . R u there in home.,ok enjoy r u home,"['ok', 'enjoy', 'r', 'u', 'home']"
460,0,Just nw i came to hme da..,nw came hme da,"['nw', 'came', 'hme', 'da']"
461,0,Ok..,ok,['ok']
462,0,I am in hospital da. . I will return home in evening,hospit da return home even,"['hospit', 'da', 'return', 'home', 'even']"
463,0,"Nope, I'm still in the market",nope still market,"['nope', 'still', 'market']"
464,0,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,time fix spell sometim get complet diff word go figur,"['time', 'fix', 'spell', 'sometim', 'get', 'complet', 'diff', 'word', 'go', 'figur']"
465,0,Happy New Year Princess!,happi new year princess,"['happi', 'new', 'year', 'princess']"
466,0,I dunno lei... Like dun haf...,dunno lei like dun haf,"['dunno', 'lei', 'like', 'dun', 'haf']"
467,0,I wanted to wish you a Happy New Year and I wanted to talk to you about some legal advice to do with when Gary and I split but in person. I'll make a trip to Ptbo for that. I hope everything is good with you babe and I love ya :),want wish happi new year want talk legal advic gari split person make trip ptbo hope everyth good babe love ya,"['want', 'wish', 'happi', 'new', 'year', 'want', 'talk', 'legal', 'advic', 'gari', 'split', 'person', 'make', 'trip', 'ptbo', 'hope', 'everyth', 'good', 'babe', 'love', 'ya']"
468,0,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.,sir 8 hr trip bu last week anoth audit next wednesday think might drive time,"['sir', '8', 'hr', 'trip', 'bu', 'last', 'week', 'anoth', 'audit', 'next', 'wednesday', 'think', 'might', 'drive', 'time']"
469,0,Whatsup there. Dont u want to sleep,whatsup dont u want sleep,"['whatsup', 'dont', 'u', 'want', 'sleep']"
470,0,Glad to see your reply.,glad see repli,"['glad', 'see', 'repli']"
471,0,Ok lor...,ok lor,"['ok', 'lor']"
472,0,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,wat make peopl dearer de happi dat u feel u meet de pain u feel u miss dem,"['wat', 'make', 'peopl', 'dearer', 'de', 'happi', 'dat', 'u', 'feel', 'u', 'meet', 'de', 'pain', 'u', 'feel', 'u', 'miss', 'dem']"
473,0,Ya very nice. . .be ready on thursday,ya nice readi thursday,"['ya', 'nice', 'readi', 'thursday']"
474,0,Shuhui has bought ron's present it's a swatch watch...,shuhui bought ron present swatch watch,"['shuhui', 'bought', 'ron', 'present', 'swatch', 'watch']"
475,0,What's a feathery bowa? Is that something guys have that I don't know about?,featheri bowa someth guy know,"['featheri', 'bowa', 'someth', 'guy', 'know']"
476,0,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging ,hey book kb sat alreadi lesson go ah keep sat night free need meet confirm lodg,"['hey', 'book', 'kb', 'sat', 'alreadi', 'lesson', 'go', 'ah', 'keep', 'sat', 'night', 'free', 'need', 'meet', 'confirm', 'lodg']"
477,0,These won't do. Have to move on to morphine,move morphin,"['move', 'morphin']"
478,0,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,somewher beneath pale moon light someon think u dream come true goodnit amp sweet dream,"['somewher', 'beneath', 'pale', 'moon', 'light', 'someon', 'think', 'u', 'dream', 'come', 'true', 'goodnit', 'amp', 'sweet', 'dream']"
479,0,"Sorry, I'll call later",sorri call later,"['sorri', 'call', 'later']"
480,0,Sos! Any amount i can get pls.,so amount get pl,"['so', 'amount', 'get', 'pl']"
481,0,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer... ",mon oki lor haha best cheap n gd food la ex oso oki depend whether wana eat western chines food den u prefer,"['mon', 'oki', 'lor', 'haha', 'best', 'cheap', 'n', 'gd', 'food', 'la', 'ex', 'oso', 'oki', 'depend', 'whether', 'wana', 'eat', 'western', 'chines', 'food', 'den', 'u', 'prefer']"
482,0,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,hey next sun 1030 basic yoga cours bugi go pilat intro next sat tell time r free,"['hey', 'next', 'sun', '1030', 'basic', 'yoga', 'cours', 'bugi', 'go', 'pilat', 'intro', 'next', 'sat', 'tell', 'time', 'r', 'free']"
483,0,Hey... Very inconvenient for your sis a not huh?,hey inconveni si huh,"['hey', 'inconveni', 'si', 'huh']"
484,0,"Sorry, I'll call later ok bye",sorri call later ok bye,"['sorri', 'call', 'later', 'ok', 'bye']"
485,0,"Sir, waiting for your letter.",sir wait letter,"['sir', 'wait', 'letter']"
486,0,I like cheap! But i      m happy to splash out on the wine if it makes you feel better..,like cheap happi splash wine make feel better,"['like', 'cheap', 'happi', 'splash', 'wine', 'make', 'feel', 'better']"
487,0,Yes. I come to nyc for audiitions and am trying to relocate.,ye come nyc audiit tri reloc,"['ye', 'come', 'nyc', 'audiit', 'tri', 'reloc']"
488,0,ALRITE,alrit,['alrit']
489,0,"There're some people by mu, I'm at the table by lambda",peopl mu tabl lambda,"['peopl', 'mu', 'tabl', 'lambda']"
490,0,Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.,kindli send one flat lt decim gt today,"['kindli', 'send', 'one', 'flat', 'lt', 'decim', 'gt', 'today']"
491,0,You want to go? ,want go,"['want', 'go']"
492,0,I was gonna ask you lol but i think its at 7,gon na ask lol think 7,"['gon', 'na', 'ask', 'lol', 'think', '7']"
